DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2009-12,110.60,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-01,110.07,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-02,110.42,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-03,111.43,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-04,111.91,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-05,112.08,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-06,112.12,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-07,111.80,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-08,112.02,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-09,112.32,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-10,112.65,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-11,112.83,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2010-12,113.55,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-01,113.08,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-02,113.61,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-03,114.85,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-04,115.55,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-05,115.65,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-06,115.58,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-07,115.09,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-08,115.32,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-09,116.05,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-10,116.42,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-11,116.59,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2011-12,116.99,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-01,116.33,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-02,116.94,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-03,118.14,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-04,118.70,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-05,118.60,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-06,118.47,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-07,118.02,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-08,118.44,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-09,119.18,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-10,119.51,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-11,119.35,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2012-12,119.74,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-01,118.80,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-02,119.28,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-03,120.37,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-04,120.36,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-05,120.48,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-06,120.54,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-07,120.06,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-08,120.22,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-09,120.70,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-10,120.62,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-11,120.52,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2013-12,120.93,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-01,119.87,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-02,120.25,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-03,121.11,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-04,121.33,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-05,121.21,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-06,121.34,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-07,120.71,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-08,120.83,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-09,121.21,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-10,121.19,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-11,120.94,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2014-12,120.83,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-01,119.29,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-02,119.90,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-03,120.99,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-04,121.46,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-05,121.78,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-06,121.74,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-07,121.17,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-08,121.15,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-09,121.30,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-10,121.44,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-11,121.04,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2015-12,121.05,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-01,119.61,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-02,119.79,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-03,120.94,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-04,121.18,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-05,121.60,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-06,121.81,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-07,121.37,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-08,121.44,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-09,121.80,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-10,122.08,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-11,121.82,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2016-12,122.43,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-01,121.62,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-02,122.15,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-03,122.93,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-04,123.57,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-05,123.56,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-06,123.63,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-07,123.25,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-08,123.54,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-09,123.98,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-10,124.12,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-11,124.05,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2017-12,124.44,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-01,123.59,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-02,123.86,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-03,124.86,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-04,125.38,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-05,126.07,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-06,126.20,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-07,126.01,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-08,126.26,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-09,126.67,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-10,126.96,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-11,126.48,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2018-12,126.47,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-01,125.44,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-02,125.89,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-03,126.89,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-04,127.78,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-05,128.03,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-06,128.16,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-07,127.79,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-08,127.96,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-09,128.17,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-10,128.33,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-11,128.10,
ESTAT:PRC_HICP_MIDX(1.0),02/03/22 11:00:00,M,I05,CP00,EU28,2019-12,128.46,
